date,result,gc_result_on_stage,race,distance,pointspcs,pointsuci,stage,rider,team
2017-07-05,10,3,Giro d'Italia Internazionale Femminile (2.WWT),116.1,NA,4,Stage 6 - Roseto degli Abruzzi › Roseto degli Abruzzi,Annemiek van Vleuten,Mitchelton-Scott
2017-07-04,1,3,Giro d'Italia Internazionale Femminile (2.WWT),12.73,30,25,Stage 5 (ITT) - Sant'elpidio a Mare › Sant'elpidio a Mare,Annemiek van Vleuten,Mitchelton-Scott
2017-07-03,100,4,Giro d'Italia Internazionale Femminile (2.WWT),118,NA,NA,Stage 4 - Occhiobello › Occhiobello,Annemiek van Vleuten,Mitchelton-Scott
2017-07-02,34,2,Giro d'Italia Internazionale Femminile (2.WWT),100,NA,NA,Stage 3 - San Fior › San Vendemiano,Annemiek van Vleuten,Mitchelton-Scott
2017-07-01,1,2,Giro d'Italia Internazionale Femminile (2.WWT),122.25,30,25,Stage 2 - Zoppola › Mantereale Valcellina,Annemiek van Vleuten,Mitchelton-Scott
2017-06-30,3,12,Giro d'Italia Internazionale Femminile (2.WWT),11.5,10,3,Stage 1 (TTT) - Aquileia › Grado,Annemiek van Vleuten,Mitchelton-Scott
NA,2,NA,Emakumeen XXX. Bira (2.1),NA,NA,NA,Mountains classification,Annemiek van Vleuten,Mitchelton-Scott
NA,2,NA,Emakumeen XXX. Bira (2.1),NA,NA,NA,Points classification,Annemiek van Vleuten,Mitchelton-Scott
NA,2,NA,Emakumeen XXX. Bira (2.1),NA,56,60,General classification,Annemiek van Vleuten,Mitchelton-Scott
2017-05-21,2,NA,Emakumeen XXX. Bira (2.1),95,11,12,Stage 5 - Errentería › Errentería,Annemiek van Vleuten,Mitchelton-Scott
2017-05-20,1,2,Emakumeen XXX. Bira (2.1),58,16,16,Stage 4 - Etxarri Aranatz › Alto de San Miguel de Aralar,Annemiek van Vleuten,Mitchelton-Scott
2017-05-19,3,6,Emakumeen XXX. Bira (2.1),77.6,6,8,Stage 3 - Antzuola › Antzuola,Annemiek van Vleuten,Mitchelton-Scott
2017-05-18,11,11,Emakumeen XXX. Bira (2.1),90.2,NA,NA,Stage 2 - Markina-Xemein › Markina-Xemein,Annemiek van Vleuten,Mitchelton-Scott
2017-05-17,6,9,Emakumeen XXX. Bira (2.1),50,2,4,Stage 1 - Iurreta › Iurreta,Annemiek van Vleuten,Mitchelton-Scott
2017-04-07,998,NA,Healthy Ageing Tour (2.2),154.4,NA,NA,Stage 3 - Musselkanaal › Stadskanaal,Annemiek van Vleuten,Mitchelton-Scott
2017-04-06,5,12,Healthy Ageing Tour (2.2),19.3,NA,NA,Stage 2 (TTT) - Baflo › Baflo,Annemiek van Vleuten,Mitchelton-Scott
2017-04-05,40,13,Healthy Ageing Tour (2.2),77.6,NA,NA,Stage 1b - Grijpskerk › Grijpskerk,Annemiek van Vleuten,Mitchelton-Scott
2017-04-05,5,5,Healthy Ageing Tour (2.2),16.9,NA,NA,Stage 1a (ITT) - Leek › Leek,Annemiek van Vleuten,Mitchelton-Scott
NA,28,NA,Santos Women's Tour (2.2),NA,NA,NA,General classification,Annemiek van Vleuten,Mitchelton-Scott
2017-01-17,20,NA,Santos Women's Tour (2.2),NA,NA,NA,Stage 4 - Adelaide › Adelaide,Annemiek van Vleuten,Mitchelton-Scott
2017-01-16,30,28,Santos Women's Tour (2.2),92.4,NA,NA,Stage 3 - Tanunda › Lyndoch,Annemiek van Vleuten,Mitchelton-Scott
2017-01-15,46,30,Santos Women's Tour (2.2),32.2,NA,NA,Stage 2 (ITT) - Adelaide › Adelaide,Annemiek van Vleuten,Mitchelton-Scott
2017-01-14,31,31,Santos Women's Tour (2.2),106.5,NA,NA,Stage 1 - Hahndorf › Meadows,Annemiek van Vleuten,Mitchelton-Scott
2016-10-15,52,NA,World Championships WE - Road Race (WC),134.1,NA,NA,One day,Annemiek van Vleuten,Mitchelton-Scott
2016-10-11,5,NA,World Championships WE - ITT (WC),28.9,25,60,One day,Annemiek van Vleuten,Mitchelton-Scott
2016-09-25,43,NA,Gran Premio Bruno Beghelli Internazionale Donne Elite (1.1),79.8,NA,NA,One day,Annemiek van Vleuten,Mitchelton-Scott
2016-09-24,999,NA,Giro dell'Emilia Internazionale Donne Elite (1.1),98.8,NA,NA,One day,Annemiek van Vleuten,Mitchelton-Scott
2016-09-06,1,1,Prologue - Nieuwpoort › Nieuwpoort,4.37,16,16,One day,Annemiek van Vleuten,Mitchelton-Scott
2016-08-07,999,NA,Olympic Games WE - Road Race (Olympics),136.9,NA,NA,One day,Annemiek van Vleuten,Mitchelton-Scott
2016-06-24,7,NA,National Championships Netherlands WE - Road Race (NC),131,NA,NA,One day,Annemiek van Vleuten,Mitchelton-Scott
2016-06-22,1,NA,National Championships Netherlands WE - ITT (NC),30.75,3,3,One day,Annemiek van Vleuten,Mitchelton-Scott
2016-05-29,15,NA,Gooik-Geraardsbergen-Gooik (1.1),136.2,NA,4,One day,Annemiek van Vleuten,Mitchelton-Scott
2016-05-27,2,NA,Boels Rental Hills Classic (1.1),131.4,56,60,One day,Annemiek van Vleuten,Mitchelton-Scott
